    Kernel(ms)     User(ms)   Invoked
          718          390       2759 Application
            0            0         17 Cronner
            0            0          5 Daemon Polls
            0            0         11 Directory Watcher
            0            0          1 Event Waiter
            0            0          9 Events
            0            0          1 Host Resolver
            0            0          1 Lamps Fader
            0            0          1 Lamps Watcher
            0            0       2689 Main Timer
            0            0          1 Nodelist Compiler
            0            0          1 ODBC Logger
            0            0          1 Outbound Manager
            0            0          1 RasThread
            0            0          1 Socket Acceptor
            0            0          4 Socket Listener
            0            0        168 TCP/IP Monitor
